Agent_ID,Date,Hour,GROUP_NAME,CALLS_ANSWERED,RONA,LOGGED_ON_TIME,AVAILABLE_TIME,PER_AVAIL,HANDLED_CALLS_TIME,AVG_HANDLE_TIME,POD_NAME
12,2021-01-05,10,CN_SCH_SPECC_EN_SG,8,0,3456,2592,0.6267,864,0,POD 3
12,2021-01-05,10,CN_SCH_SPECC_POD_2_SG,1,0,0,0,0.0,0,0,POD 2
12,2021-01-05,10,CN_SCH_SPECC_SP_SG,0,0,3456,2592,0.6267,0,0,POD 3
8,2021-01-05,10,CN_SCH_SPECC_POD_1_SG,10,0,3456,1728,0.4633,1728,0,POD 1
8,2021-01-05,10,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.4633,0,0,POD 1
14,2021-01-05,10,CN_SCH_SPECC_POD_2_SG,8,0,3456,1728,0.39890000000000003,1728,0,POD 2
14,2021-01-05,10,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.39890000000000003,0,0,POD 2
3,2021-01-05,10,CN_SCH_SPECC_EN_SG,3,0,3456,1728,0.5036,1728,864,POD 3
3,2021-01-05,10,CN_SCH_SPECC_POD_2_SG,1,0,0,0,0.0104,0,0,POD 2
3,2021-01-05,10,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.5036,0,0,POD 3
5,2021-01-05,10,CN_SCH_SPECC_POD_1_SG,11,0,3456,1728,0.4139,1728,0,POD 1
5,2021-01-05,10,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.4139,0,0,POD 1
18,2021-01-05,10,CN_SCH_SPECC_EN_SG,5,0,3456,864,0.3428,1728,0,POD 3
18,2021-01-05,10,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.3428,0,0,POD 3
4,2021-01-05,10,CN_SCH_SPECC_POD_2_SG,12,1,3456,864,0.3533,2592,0,POD 2
4,2021-01-05,10,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,864,0.3533,0,0,POD 2
1,2021-01-05,10,CN_SCH_SPECC_EN_SG,8,0,3456,2592,0.6172,1728,0,POD 3
