Date,Agent_ID,Break[10003],Extended Wrap Up[10048],Go To Logout[10025],Lunch[10001],Undefined[0],CTI Failure[50002],Outbound Calls[32],RONA[32767],Administration[11043],Computer Issues[10030],Meeting[10007],[50003],Training[10005],[32762],[999],Member Facing Work[11494],Missed Tasks[50010]
1/15/21,6,7.8,31.8,0.1,60.1,0.2,,,,,,,,,,,,
1/15/21,18,79.8,19.3,0.4,,0.4,,,,,,,,,,,,
1/15/21,5,13.9,28.7,0.1,56.9,0.4,,,0.1,,,,,,,,,
1/19/21,11,13.2,,0.1,70.8,15.9,,,,,,,,,,,,
1/19/21,16,34.9,7.3,0.1,57.7,0.1,,,,,,,,,,,,
1/19/21,1,15.9,0.8,0.1,78.4,4.8,,,,,,,,,,,,
1/19/21,12,14.1,14.6,0.1,68.2,2.9,,,0.1,0.0,0.0,,,,,,,
1/19/21,8,3.8,12.4,0.1,83.6,0.1,,,,,,,,,,,,
1/19/21,6,6.3,42.3,0.1,51.1,0.1,,,,,,,,,,,,
1/19/21,4,4.9,31.5,0.1,6.4,0.7,87.9,0.0,0.1,,,,,,,,,
1/19/21,5,17.1,24.5,0.1,57.7,0.7,,,0.0,,,,,,,,,
1/19/21,18,34.4,65.4,0.1,,0.1,,,,,,,,,,,,
1/19/21,14,,98.0,1.5,,0.6,,,,,,,,,,,,
1/19/21,14,43.9,54.7,0.4,,0.4,,,0.6,,,,,,,,,
1/20/21,11,6.5,,0.1,71.0,22.4,,,,,,,,,,,,
1/20/21,16,16.1,2.5,0.1,40.3,3.6,,,,,,37.4,,,,,,
1/20/21,1,15.6,4.5,0.1,74.2,3.4,,,,2.3,,,,,,,,
1/20/21,13,21.1,11.4,0.1,65.3,2.1,,,,,,,,,,,,
1/20/21,8,4.4,12.9,0.1,82.6,0.1,,,,,,,,,,,,
1/20/21,2,34.1,,0.1,64.9,0.3,,,0.6,,,,,,,,,
1/20/21,12,5.5,11.2,0.1,83.0,0.1,,,,,,,,,,,,
1/20/21,4,,,,99.4,0.4,,,0.2,,,,,,,,,
1/20/21,6,3.9,44.6,0.1,51.4,0.1,,,,,,,,,,,,
1/20/21,5,19.0,4.6,0.1,76.1,0.2,,,,,,,,,,,,
1/20/21,18,36.2,63.1,0.5,,0.2,,,,,,,,,,,,
1/20/21,14,,96.7,1.4,,1.9,,,,,,,,,,,,
1/20/21,14,82.1,17.3,0.3,,0.3,,,,,,,,,,,,
1/21/21,11,14.6,,0.1,67.8,15.8,,1.7,,,,,,,,,,
1/21/21,16,13.9,1.5,0.1,71.7,12.8,,,,,,,,,,,,
1/21/21,1,15.2,,0.2,80.6,4.1,,,,,,,,,,,,
1/21/21,2,33.6,,0.2,64.4,1.0,,,0.8,,,,,,,,,
