Agent_ID,LOG_ON_DATE_TIME,REASON_CODE,DURATION
4,2021-01-12 07:53:00,Go To Logout[10025],5
4,2021-01-12 07:53:00,Lunch[10001],14
4,2021-01-12 07:53:00,RONA[32767],9
12,2021-01-12 07:58:00,Break[10003],697
12,2021-01-12 07:58:00,Extended Wrap Up[10048],1298
12,2021-01-12 07:58:00,Go To Logout[10025],3
12,2021-01-12 07:58:00,Lunch[10001],229
11,2021-01-12 08:17:00,Break[10003],646
11,2021-01-12 08:17:00,Extended Wrap Up[10048],176
11,2021-01-12 08:17:00,Go To Logout[10025],4
11,2021-01-12 08:17:00,Lunch[10001],3568
1,2021-01-12 08:27:00,Break[10003],659
1,2021-01-12 08:27:00,Extended Wrap Up[10048],368
1,2021-01-12 08:27:00,Go To Logout[10025],4
1,2021-01-12 08:27:00,Lunch[10001],77
13,2021-01-12 08:29:00,Break[10003],901
13,2021-01-12 08:29:00,Extended Wrap Up[10048],580
13,2021-01-12 08:29:00,Go To Logout[10025],7
13,2021-01-12 08:29:00,Lunch[10001],76
13,2021-01-12 08:29:00,RONA[32767],3
2,2021-01-12 08:29:00,Break[10003],1660
2,2021-01-12 08:29:00,Go To Logout[10025],5
2,2021-01-12 08:29:00,Lunch[10001],2745
8,2021-01-12 08:30:00,Administration[11043],3056
8,2021-01-12 08:30:00,Extended Wrap Up[10048],156
8,2021-01-12 08:30:00,Go To Logout[10025],6
8,2021-01-12 08:30:00,Lunch[10001],20
6,2021-01-12 08:33:00,Break[10003],487
6,2021-01-12 08:33:00,Extended Wrap Up[10048],1582
6,2021-01-12 08:33:00,Go To Logout[10025],9
6,2021-01-12 08:33:00,Lunch[10001],10
7,2021-01-12 08:36:00,Extended Wrap Up[10048],947
7,2021-01-12 08:36:00,Go To Logout[10025],15
7,2021-01-12 08:36:00,Lunch[10001],3593
7,2021-01-12 08:36:00,RONA[32767],5
5,2021-01-12 09:06:00,Break[10003],1100
5,2021-01-12 09:06:00,Extended Wrap Up[10048],1713
5,2021-01-12 09:06:00,Go To Logout[10025],4
5,2021-01-12 09:06:00,Lunch[10001],286
18,2021-01-12 09:08:00,Break[10003],1190
18,2021-01-12 09:08:00,Extended Wrap Up[10048],859
18,2021-01-12 09:08:00,Go To Logout[10025],16
14,2021-01-12 09:10:00,Administration[11043],172
14,2021-01-12 09:10:00,Break[10003],158
14,2021-01-12 09:10:00,Extended Wrap Up[10048],388
14,2021-01-12 09:10:00,Go To Logout[10025],5
14,2021-01-12 09:10:00,RONA[32767],7
14,2021-01-12 14:10:00,Break[10003],344
14,2021-01-12 14:10:00,Extended Wrap Up[10048],499
14,2021-01-12 14:10:00,Go To Logout[10025],3
4,2021-01-13 07:48:00,Break[10003],594
4,2021-01-13 07:48:00,Go To Logout[10025],47
4,2021-01-13 07:48:00,Lunch[10001],106
4,2021-01-13 07:48:00,RONA[32767],0
12,2021-01-13 08:01:00,Break[10003],1135
12,2021-01-13 08:01:00,Extended Wrap Up[10048],1352
12,2021-01-13 08:01:00,Go To Logout[10025],5
12,2021-01-13 08:01:00,Lunch[10001],210
12,2021-01-13 08:01:00,RONA[32767],4
11,2021-01-13 08:12:00,Administration[11043],1742
11,2021-01-13 08:12:00,Break[10003],770
11,2021-01-13 08:12:00,Go To Logout[10025],3
11,2021-01-13 08:12:00,Lunch[10001],19
16,2021-01-13 08:26:00,Break[10003],1208
16,2021-01-13 08:26:00,Extended Wrap Up[10048],532
16,2021-01-13 08:26:00,Go To Logout[10025],3
16,2021-01-13 08:26:00,Lunch[10001],113
1,2021-01-13 08:29:00,Administration[11043],1
1,2021-01-13 08:29:00,Break[10003],743
1,2021-01-13 08:29:00,Extended Wrap Up[10048],57
1,2021-01-13 08:29:00,Go To Logout[10025],5
1,2021-01-13 08:29:00,Lunch[10001],83
2,2021-01-13 08:30:00,Break[10003],1805
2,2021-01-13 08:30:00,Extended Wrap Up[10048],152
2,2021-01-13 08:30:00,Go To Logout[10025],6
2,2021-01-13 08:30:00,Lunch[10001],2696
2,2021-01-13 08:30:00,RONA[32767],5
8,2021-01-13 08:31:00,Extended Wrap Up[10048],310
8,2021-01-13 08:31:00,Go To Logout[10025],17
8,2021-01-13 08:31:00,Lunch[10001],3574
13,2021-01-13 08:32:00,Administration[11043],265
13,2021-01-13 08:32:00,Break[10003],1057
13,2021-01-13 08:32:00,Go To Logout[10025],9
13,2021-01-13 08:32:00,Lunch[10001],348
13,2021-01-13 08:32:00,RONA[32767],493
6,2021-01-13 08:34:00,Break[10003],314
6,2021-01-13 08:34:00,Extended Wrap Up[10048],2199
6,2021-01-13 08:34:00,Go To Logout[10025],3
6,2021-01-13 08:34:00,Lunch[10001],71
5,2021-01-13 09:03:00,Break[10003],881
5,2021-01-13 09:03:00,Extended Wrap Up[10048],1099
5,2021-01-13 09:03:00,Go To Logout[10025],4
5,2021-01-13 09:03:00,Lunch[10001],236
18,2021-01-13 09:06:00,Break[10003],956
18,2021-01-13 09:06:00,Extended Wrap Up[10048],503
18,2021-01-13 09:06:00,Go To Logout[10025],6
14,2021-01-13 09:13:00,Administration[11043],10
14,2021-01-13 09:13:00,Extended Wrap Up[10048],748
14,2021-01-13 09:13:00,Go To Logout[10025],4
14,2021-01-13 09:13:00,RONA[32767],7
14,2021-01-13 14:07:00,Administration[11043],15
14,2021-01-13 14:07:00,Break[10003],188
14,2021-01-13 14:07:00,Extended Wrap Up[10048],263
14,2021-01-13 14:07:00,Go To Logout[10025],3
4,2021-01-14 07:46:00,Break[10003],138
4,2021-01-14 07:46:00,Lunch[10001],29
4,2021-01-14 07:46:00,RONA[32767],6
12,2021-01-14 07:59:00,Break[10003],1145
12,2021-01-14 07:59:00,Extended Wrap Up[10048],994
12,2021-01-14 07:59:00,Go To Logout[10025],9
12,2021-01-14 07:59:00,Lunch[10001],96
11,2021-01-14 08:20:00,Break[10003],262
11,2021-01-14 08:20:00,Computer Issues[10030],272
11,2021-01-14 08:20:00,Extended Wrap Up[10048],133
11,2021-01-14 08:20:00,Go To Logout[10025],3
11,2021-01-14 08:20:00,Lunch[10001],127
1,2021-01-14 08:25:00,Break[10003],395
1,2021-01-14 08:25:00,Computer Issues[10030],55
1,2021-01-14 08:25:00,Go To Logout[10025],5
16,2021-01-14 08:28:00,Break[10003],57
16,2021-01-14 08:28:00,Extended Wrap Up[10048],99
16,2021-01-14 08:28:00,Lunch[10001],569
3,2021-01-14 08:29:00,Administration[11043],1
3,2021-01-14 08:29:00,Break[10003],541
3,2021-01-14 08:29:00,Computer Issues[10030],118
